education_level,skills,certifications,experience_score,cgpa,career_label
Bachelor,"Pytorch, Python, TensorFlow",None,5,100,AI Researcher
Master,"Pytorch, NLP, Python",Deep Learning Specialization,6,100,AI Researcher
Bachelor,"Python, Machine Learning",Deep Learning Specialization,5,100,Data Scientist
Master,"Machine Learning, Python, Deep Learning",None,5,80,Data Scientist
Bachelor,"NLP, Python, TensorFlow",None,8,100,AI Researcher
Bachelor,"NLP, Pytorch, TensorFlow",Deep Learning Specialization,5.5,100,AI Researcher
Bachelor,"C++, React, SQL, Java",Google ML,9,100,Software Engineer
Bachelor,"NLP, TensorFlow, Pytorch, Python",Google ML,0.5,35,AI Researcher
Bachelor,"SQL, Java",AWS Certified,2.5,70,Software Engineer
Master,"React, SQL",AWS Certified,5,100,Software Engineer
Master,"Python, Deep Learning, Machine Learning",None,7.5,100,Data Scientist
Bachelor,"Cybersecurity, Networking, Ethical Hacking, Linux",AWS Certified,4,95,Cybersecurity Analyst
Bachelor,"Pytorch, TensorFlow, NLP",None,3.5,70,AI Researcher
Master,"C++, React, SQL, Java",None,5.5,100,Software Engineer
Master,"NLP, TensorFlow, Python, Pytorch",None,5.5,100,AI Researcher
Master,"Linux, Ethical Hacking, Cybersecurity, Networking",None,5,100,Cybersecurity Analyst
Master,"Java, React, C++, SQL",Google ML,3,85,Software Engineer
PhD,"Java, SQL",Google ML,6.5,100,Software Engineer
Bachelor,"NLP, Pytorch",AWS Certified,6,100,AI Researcher
Bachelor,"Java, C++, SQL, React",Google ML,8,100,Software Engineer
Master,"Pytorch, Python, TensorFlow",None,3,65,AI Researcher
Master,"Networking, Ethical Hacking, Linux",None,5.5,85,Cybersecurity Analyst
Bachelor,"TensorFlow, Python, Pytorch, NLP",Deep Learning Specialization,3,70,AI Researcher
Master,"SQL, React, C++, Java",Google ML,7.5,100,Software Engineer
Master,"TensorFlow, NLP, Python, Pytorch",Deep Learning Specialization,7.5,100,AI Researcher
Master,"Deep Learning, SQL, Machine Learning",Deep Learning Specialization,7,100,Data Scientist
Master,"TensorFlow, NLP, Python, Pytorch",AWS Certified,7,100,AI Researcher
Master,"Python, TensorFlow, NLP",None,9,100,AI Researcher
Bachelor,"Cybersecurity, Ethical Hacking, Networking, Linux",Google ML,2.5,65,Cybersecurity Analyst
Master,"Pytorch, NLP",AWS Certified,4.5,90,AI Researcher
Bachelor,"Cybersecurity, Ethical Hacking, Linux, Networking",AWS Certified,6,100,Cybersecurity Analyst
Master,"Python, Deep Learning, SQL",AWS Certified,5,95,Data Scientist
Bachelor,"SQL, C++",Google ML,2.5,45,Software Engineer
Master,"Python, TensorFlow, Pytorch",None,0.5,20,AI Researcher
Bachelor,"SQL, Deep Learning",AWS Certified,4,75,Data Scientist
Bachelor,"TensorFlow, NLP, Python, Pytorch",None,5.5,90,AI Researcher
PhD,"Cybersecurity, Networking",None,3,60,Cybersecurity Analyst
PhD,"Linux, Ethical Hacking, Cybersecurity",Deep Learning Specialization,6.5,100,Cybersecurity Analyst
Bachelor,"Ethical Hacking, Networking, Linux, Cybersecurity",Google ML,5,85,Cybersecurity Analyst
Bachelor,"TensorFlow, Pytorch, Python, NLP",AWS Certified,8,100,AI Researcher
PhD,"C++, React",None,4,85,Software Engineer
Bachelor,"React, SQL, Java",AWS Certified,1.5,40,Software Engineer
Bachelor,"Pytorch, TensorFlow, Python",None,6.5,100,AI Researcher
Bachelor,"TensorFlow, NLP, Pytorch",Deep Learning Specialization,6,100,AI Researcher
Master,"TensorFlow, NLP",Deep Learning Specialization,6.5,100,AI Researcher
Bachelor,"SQL, Machine Learning",Deep Learning Specialization,5.5,100,Data Scientist
PhD,"Ethical Hacking, Linux, Networking, Cybersecurity",None,3.5,70,Cybersecurity Analyst
PhD,"Networking, Cybersecurity",None,5,65,Cybersecurity Analyst
Bachelor,"Ethical Hacking, Networking",Deep Learning Specialization,7,100,Cybersecurity Analyst
Bachelor,"Networking, Ethical Hacking",Google ML,1.5,50,Cybersecurity Analyst
PhD,"Cybersecurity, Networking, Ethical Hacking, Linux",AWS Certified,4.5,100,Cybersecurity Analyst
Master,"NLP, TensorFlow, Pytorch",None,6.5,95,AI Researcher
Bachelor,"SQL, Java",AWS Certified,3,50,Software Engineer
PhD,"Pytorch, Python, TensorFlow",Google ML,3,55,AI Researcher
Bachelor,"Machine Learning, Python",Deep Learning Specialization,2.5,60,Data Scientist
Master,"Linux, Cybersecurity, Ethical Hacking",Deep Learning Specialization,6.5,100,Cybersecurity Analyst
PhD,"Python, Pytorch, NLP, TensorFlow",Deep Learning Specialization,6,100,AI Researcher
Bachelor,"Pytorch, TensorFlow",AWS Certified,6,95,AI Researcher
Master,"SQL, Java",None,0.5,20,Software Engineer
Bachelor,"Networking, Cybersecurity, Ethical Hacking, Linux",Deep Learning Specialization,4,90,Cybersecurity Analyst
Bachelor,"Ethical Hacking, Networking",Google ML,5,100,Cybersecurity Analyst
PhD,"C++, SQL, React, Java",AWS Certified,7.5,100,Software Engineer
PhD,"Deep Learning, Machine Learning, Python, SQL",None,8.5,100,Data Scientist
Master,"Networking, Linux, Ethical Hacking, Cybersecurity",None,1,30,Cybersecurity Analyst
Bachelor,"NLP, TensorFlow, Python",AWS Certified,6,100,AI Researcher
Bachelor,"Pytorch, NLP, Python",None,3.5,60,AI Researcher
Master,"Java, SQL",Google ML,8,100,Software Engineer
PhD,"Linux, Cybersecurity",None,4.5,65,Cybersecurity Analyst
PhD,"Deep Learning, Python, SQL, Machine Learning",None,1,30,Data Scientist
Master,"Cybersecurity, Ethical Hacking, Networking",Google ML,8,100,Cybersecurity Analyst
Bachelor,"Python, NLP, Pytorch, TensorFlow",AWS Certified,5.5,100,AI Researcher
PhD,"C++, Java, SQL, React",None,9,100,Software Engineer
Bachelor,"React, Java",None,1.5,40,Software Engineer
Master,"Python, Pytorch",Deep Learning Specialization,7.5,100,AI Researcher
PhD,"Deep Learning, Python, SQL",Deep Learning Specialization,2.5,60,Data Scientist
Bachelor,"Python, NLP, Pytorch, TensorFlow",Google ML,1.5,45,AI Researcher
Master,"Python, TensorFlow, NLP, Pytorch",None,6,100,AI Researcher
Master,"C++, React",None,5.5,100,Software Engineer
Bachelor,"Ethical Hacking, Linux, Networking, Cybersecurity",Google ML,2.5,55,Cybersecurity Analyst
PhD,"SQL, Python",AWS Certified,8.5,100,Data Scientist
Bachelor,"Ethical Hacking, Networking, Linux, Cybersecurity",Google ML,4,70,Cybersecurity Analyst
Bachelor,"SQL, Machine Learning, Deep Learning",None,2.5,60,Data Scientist
Master,"SQL, Java, React, C++",Deep Learning Specialization,6,100,Software Engineer
Master,"React, SQL, C++",Google ML,8,100,Software Engineer
Bachelor,"Machine Learning, Python, Deep Learning, SQL",AWS Certified,4,100,Data Scientist
PhD,"Networking, Ethical Hacking",AWS Certified,4.5,75,Cybersecurity Analyst
PhD,"Python, TensorFlow, Pytorch, NLP",None,5.5,90,AI Researcher
Master,"Linux, Cybersecurity",Google ML,4,60,Cybersecurity Analyst
PhD,"Java, C++",Deep Learning Specialization,5,85,Software Engineer
Master,"React, Java",None,6,95,Software Engineer
Master,"TensorFlow, NLP",None,6,80,AI Researcher
Bachelor,"SQL, Java, C++, React",Deep Learning Specialization,7,100,Software Engineer
Bachelor,"Linux, Cybersecurity, Ethical Hacking",None,7.5,100,Cybersecurity Analyst
Bachelor,"Pytorch, TensorFlow, Python, NLP",Google ML,4.5,95,AI Researcher
Bachelor,"Python, TensorFlow",AWS Certified,3,65,AI Researcher
Master,"C++, Java",Deep Learning Specialization,3,70,Software Engineer
Master,"NLP, Python, TensorFlow",AWS Certified,8.5,100,AI Researcher
Bachelor,"Cybersecurity, Linux",Deep Learning Specialization,5,100,Cybersecurity Analyst
Bachelor,"Ethical Hacking, Linux, Networking, Cybersecurity",Google ML,5.5,100,Cybersecurity Analyst
Master,"Cybersecurity, Ethical Hacking",Deep Learning Specialization,4.5,75,Cybersecurity Analyst
Master,"Cybersecurity, Linux, Ethical Hacking, Networking",Deep Learning Specialization,5.5,100,Cybersecurity Analyst
Master,"Machine Learning, Python, Deep Learning",Google ML,2,55,Data Scientist
Bachelor,"Linux, Ethical Hacking",None,5.5,85,Cybersecurity Analyst
Master,"Cybersecurity, Networking, Linux",Google ML,6,100,Cybersecurity Analyst
Master,"Java, SQL",AWS Certified,6,90,Software Engineer
Bachelor,"Networking, Cybersecurity, Ethical Hacking, Linux",None,3,70,Cybersecurity Analyst
Bachelor,"React, SQL",Deep Learning Specialization,8,100,Software Engineer
Bachelor,"SQL, Java, C++",AWS Certified,7.5,100,Software Engineer
Bachelor,"Pytorch, TensorFlow",Google ML,8,100,AI Researcher
Bachelor,"Networking, Cybersecurity, Ethical Hacking, Linux",Deep Learning Specialization,6.5,100,Cybersecurity Analyst
Master,"Pytorch, TensorFlow, NLP",Google ML,7,100,AI Researcher
Master,"Java, SQL, React",AWS Certified,5.5,95,Software Engineer
PhD,"Machine Learning, Python, SQL",AWS Certified,3.5,70,Data Scientist
Bachelor,"NLP, TensorFlow",AWS Certified,6,90,AI Researcher
PhD,"Networking, Cybersecurity",None,3.5,60,Cybersecurity Analyst
Bachelor,"Python, TensorFlow, NLP, Pytorch",None,5,90,AI Researcher
PhD,"C++, SQL, Java",AWS Certified,7,100,Software Engineer
Master,"Python, TensorFlow",Google ML,0.5,25,AI Researcher
Master,"NLP, TensorFlow, Python, Pytorch",Google ML,1.5,50,AI Researcher
Master,"C++, SQL, Java",AWS Certified,0,25,Software Engineer
Bachelor,"Python, TensorFlow",Google ML,4,90,AI Researcher
PhD,"C++, SQL, React, Java",Deep Learning Specialization,6.5,100,Software Engineer
PhD,"Networking, Ethical Hacking, Linux, Cybersecurity",None,3,70,Cybersecurity Analyst
Master,"SQL, Machine Learning",Google ML,4.5,85,Data Scientist
Master,"Pytorch, TensorFlow, Python, NLP",Google ML,3.5,85,AI Researcher
PhD,"SQL, Deep Learning",None,6,90,Data Scientist
PhD,"Cybersecurity, Networking",None,6,85,Cybersecurity Analyst
Bachelor,"Python, Machine Learning",AWS Certified,5,100,Data Scientist
Master,"Ethical Hacking, Cybersecurity",None,7.5,100,Cybersecurity Analyst
Master,"C++, Java, SQL, React",AWS Certified,1,50,Software Engineer
Bachelor,"Python, Deep Learning, Machine Learning",Deep Learning Specialization,8.5,100,Data Scientist
Bachelor,"Machine Learning, Python, SQL",None,7.5,100,Data Scientist
PhD,"SQL, Machine Learning, Deep Learning",None,2.5,55,Data Scientist
Bachelor,"Pytorch, Python, NLP",None,3,55,AI Researcher
Master,"React, C++",AWS Certified,8.5,100,Software Engineer
Master,"Linux, Networking, Cybersecurity",Deep Learning Specialization,2,60,Cybersecurity Analyst
Bachelor,"Networking, Linux",Google ML,2,50,Cybersecurity Analyst
PhD,"SQL, Machine Learning, Deep Learning, Python",AWS Certified,7.5,100,Data Scientist
Master,"C++, Java, React",AWS Certified,7.5,100,Software Engineer
PhD,"Networking, Ethical Hacking",Google ML,4.5,70,Cybersecurity Analyst
Bachelor,"React, Java, C++",Google ML,2.5,75,Software Engineer
Master,"Ethical Hacking, Linux, Networking",None,3,60,Cybersecurity Analyst
Master,"Cybersecurity, Ethical Hacking",AWS Certified,7,100,Cybersecurity Analyst
Bachelor,"Ethical Hacking, Linux, Networking",Deep Learning Specialization,5,100,Cybersecurity Analyst
PhD,"Deep Learning, SQL, Machine Learning",None,4,85,Data Scientist
Master,"Pytorch, Python, TensorFlow",AWS Certified,5.5,100,AI Researcher
Bachelor,"TensorFlow, Pytorch, Python, NLP",AWS Certified,5.5,100,AI Researcher
Bachelor,"React, SQL, C++, Java",Google ML,1,40,Software Engineer
Master,"Deep Learning, SQL, Python, Machine Learning",AWS Certified,3,85,Data Scientist
Bachelor,"Pytorch, NLP, TensorFlow",Deep Learning Specialization,4.5,100,AI Researcher
PhD,"Java, C++, React",Deep Learning Specialization,1,35,Software Engineer
Bachelor,"NLP, TensorFlow",Google ML,8,100,AI Researcher
Bachelor,"NLP, Pytorch, Python",AWS Certified,6,95,AI Researcher
PhD,"NLP, Pytorch, TensorFlow",Deep Learning Specialization,2.5,60,AI Researcher
Master,"C++, React, Java, SQL",None,2,45,Software Engineer
PhD,"Cybersecurity, Networking, Linux",Deep Learning Specialization,5,100,Cybersecurity Analyst
Bachelor,"Deep Learning, Python, SQL",None,3.5,70,Data Scientist
PhD,"React, C++, SQL, Java",Deep Learning Specialization,9,100,Software Engineer
Bachelor,"Machine Learning, Python, Deep Learning",Deep Learning Specialization,0.5,30,Data Scientist
Master,"Python, Pytorch, TensorFlow",AWS Certified,5,100,AI Researcher
Bachelor,"C++, Java",Deep Learning Specialization,2.5,70,Software Engineer
PhD,"Python, Pytorch, TensorFlow, NLP",Deep Learning Specialization,5,100,AI Researcher
Bachelor,"Pytorch, Python, TensorFlow",None,2,35,AI Researcher
Bachelor,"NLP, TensorFlow, Pytorch, Python",Google ML,3,90,AI Researcher
Master,"Deep Learning, SQL",Google ML,3.5,60,Data Scientist
Bachelor,"Ethical Hacking, Linux, Cybersecurity, Networking",Deep Learning Specialization,8,100,Cybersecurity Analyst
Master,"Machine Learning, Deep Learning, SQL",None,6.5,100,Data Scientist
Bachelor,"SQL, Java, React",None,3,55,Software Engineer
Bachelor,"SQL, Deep Learning",Deep Learning Specialization,3.5,85,Data Scientist
Bachelor,"SQL, Deep Learning, Python",Google ML,2.5,50,Data Scientist
Master,"Python, TensorFlow, NLP",AWS Certified,4.5,75,AI Researcher
Master,"Ethical Hacking, Cybersecurity",AWS Certified,2,40,Cybersecurity Analyst
Bachelor,"React, SQL, Java, C++",Deep Learning Specialization,4.5,100,Software Engineer
Master,"Python, Deep Learning, SQL, Machine Learning",None,4.5,100,Data Scientist
Master,"SQL, Python",AWS Certified,7,100,Data Scientist
PhD,"Networking, Linux, Cybersecurity, Ethical Hacking",Google ML,7,100,Cybersecurity Analyst
PhD,"TensorFlow, Pytorch, Python",Google ML,5.5,100,AI Researcher
PhD,"SQL, Machine Learning",Deep Learning Specialization,2.5,50,Data Scientist
Master,"Python, Pytorch, TensorFlow",Deep Learning Specialization,3,55,AI Researcher
Bachelor,"Machine Learning, Deep Learning, Python, SQL",None,6,100,Data Scientist
PhD,"TensorFlow, Python, Pytorch, NLP",Deep Learning Specialization,2.5,65,AI Researcher
Master,"Python, SQL, Deep Learning, Machine Learning",Deep Learning Specialization,9,100,Data Scientist
Bachelor,"SQL, C++, Java",None,5,95,Software Engineer
Bachelor,"Deep Learning, Machine Learning, Python",None,7,100,Data Scientist
Master,"Java, React, C++",None,7.5,100,Software Engineer
PhD,"Python, NLP, Pytorch, TensorFlow",Deep Learning Specialization,4.5,100,AI Researcher
Bachelor,"Python, SQL",Google ML,5,70,Data Scientist
Master,"SQL, C++",Deep Learning Specialization,6,100,Software Engineer
PhD,"Ethical Hacking, Cybersecurity",Google ML,5,95,Cybersecurity Analyst
Bachelor,"Linux, Ethical Hacking",AWS Certified,6,100,Cybersecurity Analyst
Master,"Python, Pytorch, TensorFlow, NLP",None,9,100,AI Researcher
Bachelor,"Python, Deep Learning",AWS Certified,5,100,Data Scientist
PhD,"Networking, Linux, Ethical Hacking, Cybersecurity",None,7,100,Cybersecurity Analyst
Bachelor,"TensorFlow, NLP",Google ML,6.5,100,AI Researcher
Bachelor,"Linux, Cybersecurity",Deep Learning Specialization,8,100,Cybersecurity Analyst
Master,"Java, C++, SQL",None,5.5,100,Software Engineer
PhD,"Deep Learning, Machine Learning, SQL, Python",None,4.5,70,Data Scientist
Master,"SQL, Deep Learning, Python, Machine Learning",Google ML,7,100,Data Scientist
Master,"SQL, Deep Learning, Python, Machine Learning",None,7,100,Data Scientist
Bachelor,"TensorFlow, Python, NLP, Pytorch",Deep Learning Specialization,6,100,AI Researcher
PhD,"React, Java, C++, SQL",Google ML,2.5,70,Software Engineer
PhD,"Networking, Cybersecurity, Ethical Hacking",None,3.5,85,Cybersecurity Analyst
Master,"Ethical Hacking, Networking, Cybersecurity",None,5,70,Cybersecurity Analyst
Bachelor,"SQL, Java, C++",Deep Learning Specialization,6,100,Software Engineer
Bachelor,"Machine Learning, SQL, Python, Deep Learning",Google ML,3.5,100,Data Scientist
Master,"TensorFlow, NLP, Pytorch, Python",Google ML,7,100,AI Researcher
Bachelor,"Networking, Ethical Hacking",Deep Learning Specialization,6.5,100,Cybersecurity Analyst
Master,"Deep Learning, Python, SQL, Machine Learning",None,6.5,100,Data Scientist
Bachelor,"SQL, C++",AWS Certified,5.5,80,Software Engineer
Master,"SQL, C++, Java, React",None,3.5,75,Software Engineer
Master,"TensorFlow, Python, NLP, Pytorch",Google ML,9,100,AI Researcher
Bachelor,"Python, Deep Learning, Machine Learning, SQL",None,5,100,Data Scientist
Master,"Python, Machine Learning, Deep Learning",AWS Certified,5,100,Data Scientist
Bachelor,"SQL, Machine Learning, Python, Deep Learning",Deep Learning Specialization,5,100,Data Scientist
Master,"Linux, Ethical Hacking",AWS Certified,8.5,100,Cybersecurity Analyst
Bachelor,"Deep Learning, SQL, Machine Learning, Python",AWS Certified,6,100,Data Scientist
Bachelor,"Deep Learning, Python, SQL",Deep Learning Specialization,1,45,Data Scientist
Master,"SQL, Python, Machine Learning, Deep Learning",Deep Learning Specialization,6.5,100,Data Scientist
Master,"TensorFlow, Pytorch",Deep Learning Specialization,8,100,AI Researcher
Master,"Ethical Hacking, Networking",Deep Learning Specialization,4.5,90,Cybersecurity Analyst
Master,"Linux, Cybersecurity, Ethical Hacking",Deep Learning Specialization,8.5,100,Cybersecurity Analyst
PhD,"Java, React, SQL",Deep Learning Specialization,5.5,100,Software Engineer
PhD,"TensorFlow, NLP, Pytorch, Python",AWS Certified,2,55,AI Researcher
Bachelor,"SQL, Machine Learning, Python, Deep Learning",Deep Learning Specialization,3.5,85,Data Scientist
PhD,"Networking, Linux, Ethical Hacking",None,3,65,Cybersecurity Analyst
Bachelor,"Cybersecurity, Ethical Hacking, Linux, Networking",Google ML,1.5,50,Cybersecurity Analyst
Bachelor,"Ethical Hacking, Networking, Linux, Cybersecurity",None,1,30,Cybersecurity Analyst
Bachelor,"SQL, Machine Learning",Google ML,8.5,100,Data Scientist
PhD,"Java, C++, React, SQL",Deep Learning Specialization,10,100,Software Engineer
Bachelor,"Java, C++, React, SQL",Deep Learning Specialization,5,100,Software Engineer
Master,"Linux, Cybersecurity, Ethical Hacking",AWS Certified,2.5,70,Cybersecurity Analyst
PhD,"TensorFlow, Python",AWS Certified,5,100,AI Researcher
Master,"React, SQL",AWS Certified,7,100,Software Engineer
Master,"TensorFlow, NLP, Python",Google ML,9.5,100,AI Researcher
Master,"Cybersecurity, Ethical Hacking, Networking, Linux",None,5,85,Cybersecurity Analyst
Master,"Pytorch, NLP, Python, TensorFlow",None,5,75,AI Researcher
Bachelor,"React, C++, Java, SQL",Google ML,6,100,Software Engineer
Master,"Pytorch, Python",AWS Certified,2.5,65,AI Researcher
Master,"Python, SQL, Machine Learning",Deep Learning Specialization,2.5,65,Data Scientist
Bachelor,"Ethical Hacking, Cybersecurity, Networking, Linux",AWS Certified,7,100,Cybersecurity Analyst
PhD,"Java, SQL, C++",None,5.5,100,Software Engineer
Bachelor,"Deep Learning, Python",Google ML,8.5,100,Data Scientist
PhD,"React, C++",None,8.5,100,Software Engineer
Bachelor,"Ethical Hacking, Networking, Cybersecurity, Linux",None,4.5,100,Cybersecurity Analyst
Master,"Machine Learning, Python, SQL",Deep Learning Specialization,3,65,Data Scientist
Master,"Cybersecurity, Networking, Linux, Ethical Hacking",Deep Learning Specialization,9.5,100,Cybersecurity Analyst
Master,"Python, Pytorch",AWS Certified,6,100,AI Researcher
Master,"Python, SQL, Deep Learning",AWS Certified,6.5,100,Data Scientist
Bachelor,"Deep Learning, Machine Learning, SQL",None,8.5,100,Data Scientist
Bachelor,"React, SQL, C++, Java",None,9,100,Software Engineer
Bachelor,"Deep Learning, Machine Learning",Google ML,3,70,Data Scientist
PhD,"Python, SQL, Deep Learning",AWS Certified,5,85,Data Scientist
Master,"SQL, Java, React",AWS Certified,2,50,Software Engineer
Bachelor,"Machine Learning, Python, SQL",None,3,55,Data Scientist
Bachelor,"Ethical Hacking, Linux, Networking",None,8.5,100,Cybersecurity Analyst
Bachelor,"Python, Pytorch, NLP, TensorFlow",Google ML,1.5,50,AI Researcher
Master,"Cybersecurity, Ethical Hacking, Networking, Linux",AWS Certified,4,85,Cybersecurity Analyst
Master,"Python, Pytorch, TensorFlow, NLP",None,7,100,AI Researcher
Master,"SQL, Java",AWS Certified,5.5,100,Software Engineer
Master,"Machine Learning, Python, SQL, Deep Learning",AWS Certified,4,100,Data Scientist
Master,"SQL, Deep Learning, Python",Deep Learning Specialization,5,100,Data Scientist
Bachelor,"Networking, Cybersecurity, Linux",Google ML,4.5,100,Cybersecurity Analyst
PhD,"Machine Learning, SQL, Deep Learning",None,5,100,Data Scientist
Master,"Linux, Ethical Hacking, Networking",Deep Learning Specialization,6.5,100,Cybersecurity Analyst
PhD,"TensorFlow, Pytorch, Python, NLP",AWS Certified,7,100,AI Researcher
Master,"Linux, Networking, Cybersecurity",Deep Learning Specialization,7.5,100,Cybersecurity Analyst
Bachelor,"SQL, Python, Machine Learning, Deep Learning",None,5.5,90,Data Scientist
Bachelor,"Networking, Cybersecurity, Ethical Hacking",None,6,100,Cybersecurity Analyst
PhD,"TensorFlow, Python, NLP",Deep Learning Specialization,4,95,AI Researcher
Master,"Python, SQL, Machine Learning",Google ML,6,100,Data Scientist
Master,"Pytorch, Python, TensorFlow, NLP",Google ML,5,100,AI Researcher
Master,"Java, React, SQL, C++",Google ML,5.5,100,Software Engineer
PhD,"TensorFlow, NLP, Pytorch",AWS Certified,7.5,100,AI Researcher
PhD,"SQL, Machine Learning, Python",Google ML,6.5,100,Data Scientist
PhD,"Java, C++, React, SQL",Google ML,4,100,Software Engineer
Master,"Linux, Cybersecurity",AWS Certified,7.5,100,Cybersecurity Analyst
Bachelor,"Machine Learning, Python, Deep Learning, SQL",Google ML,7,100,Data Scientist
Bachelor,"C++, React, SQL, Java",AWS Certified,7.5,100,Software Engineer
Bachelor,"Python, SQL, Machine Learning, Deep Learning",AWS Certified,4.5,95,Data Scientist
PhD,"Machine Learning, Deep Learning, Python",None,6.5,95,Data Scientist
Master,"TensorFlow, NLP, Python",AWS Certified,1,35,AI Researcher
PhD,"Deep Learning, Machine Learning, SQL, Python",None,1.5,45,Data Scientist
PhD,"Cybersecurity, Ethical Hacking, Networking, Linux",Google ML,3.5,95,Cybersecurity Analyst
Bachelor,"React, SQL",AWS Certified,7.5,100,Software Engineer
Master,"Java, C++",AWS Certified,4,100,Software Engineer
Bachelor,"Pytorch, TensorFlow, Python, NLP",None,4.5,85,AI Researcher
PhD,"SQL, Machine Learning",AWS Certified,6,100,Data Scientist
Bachelor,"TensorFlow, Pytorch, NLP, Python",AWS Certified,7,100,AI Researcher
PhD,"Machine Learning, Deep Learning",None,8.5,100,Data Scientist
PhD,"Machine Learning, Deep Learning, SQL",AWS Certified,5,90,Data Scientist
Bachelor,"Ethical Hacking, Cybersecurity, Linux",Deep Learning Specialization,1.5,45,Cybersecurity Analyst
Master,"Cybersecurity, Ethical Hacking, Linux",AWS Certified,6,100,Cybersecurity Analyst
Master,"Python, Machine Learning, Deep Learning, SQL",Google ML,6,100,Data Scientist
Master,"Cybersecurity, Networking",Google ML,5.5,100,Cybersecurity Analyst
Master,"Pytorch, TensorFlow, Python",None,6.5,100,AI Researcher
PhD,"Ethical Hacking, Networking",Google ML,5.5,100,Cybersecurity Analyst
Master,"SQL, Java, React, C++",None,2,40,Software Engineer
Master,"SQL, Java, C++",None,4.5,75,Software Engineer
