education_level,skills,certifications,experience_score,cgpa,career_label
Master,"NLP, TensorFlow, Python, Pytorch",AWS Certified,3,90,AI Researcher
Master,"React, SQL, Java, C++",Deep Learning Specialization,2.5,65,Software Engineer
Master,"TensorFlow, NLP, Python, Pytorch",Google ML,7.5,100,AI Researcher
Master,"Java, SQL",None,5.5,75,Software Engineer
PhD,"Networking, Cybersecurity, Linux",Deep Learning Specialization,4,75,Cybersecurity Analyst
Master,"Networking, Ethical Hacking, Cybersecurity, Linux",None,1,40,Cybersecurity Analyst
Master,"Pytorch, NLP, Python, TensorFlow",AWS Certified,8.5,100,AI Researcher
PhD,"Deep Learning, Machine Learning, SQL, Python",Deep Learning Specialization,8,100,Data Scientist
PhD,"Pytorch, Python",Deep Learning Specialization,8,100,AI Researcher
PhD,"Deep Learning, Machine Learning",AWS Certified,2,60,Data Scientist
Bachelor,"Python, TensorFlow, NLP",None,5.5,100,AI Researcher
Bachelor,"Python, Deep Learning, Machine Learning",AWS Certified,3,55,Data Scientist
Bachelor,"Python, TensorFlow",Google ML,2.5,70,AI Researcher
Master,"Networking, Linux, Ethical Hacking",AWS Certified,4.5,85,Cybersecurity Analyst
PhD,"Machine Learning, Deep Learning",AWS Certified,3,80,Data Scientist
Master,"NLP, Pytorch, TensorFlow",Deep Learning Specialization,3,85,AI Researcher
Master,"Pytorch, Python, NLP",None,6.5,100,AI Researcher
Bachelor,"Deep Learning, SQL, Machine Learning",None,3,60,Data Scientist
Master,"Linux, Networking, Cybersecurity, Ethical Hacking",AWS Certified,6,100,Cybersecurity Analyst
PhD,"SQL, Python",None,4,85,Data Scientist
Master,"TensorFlow, Python, NLP, Pytorch",None,2,40,AI Researcher
Bachelor,"Deep Learning, Machine Learning, Python, SQL",None,3,75,Data Scientist
Master,"Deep Learning, Python",AWS Certified,4,85,Data Scientist
Master,"Cybersecurity, Networking, Ethical Hacking",None,6.5,100,Cybersecurity Analyst
Bachelor,"Java, SQL, React, C++",Google ML,9,100,Software Engineer
PhD,"Ethical Hacking, Networking",AWS Certified,4,90,Cybersecurity Analyst
Bachelor,"TensorFlow, Python",Deep Learning Specialization,4,95,AI Researcher
PhD,"Python, Machine Learning, Deep Learning, SQL",Google ML,3.5,70,Data Scientist
PhD,"Cybersecurity, Networking, Ethical Hacking",Deep Learning Specialization,5,100,Cybersecurity Analyst
PhD,"C++, React, SQL, Java",Deep Learning Specialization,5,100,Software Engineer
Bachelor,"Machine Learning, SQL",Deep Learning Specialization,6,100,Data Scientist
Bachelor,"C++, SQL, Java, React",None,8.5,100,Software Engineer
Master,"SQL, C++, Java",None,3,50,Software Engineer
Master,"Pytorch, TensorFlow, NLP, Python",None,0.5,30,AI Researcher
Bachelor,"Python, Machine Learning",Deep Learning Specialization,1.5,45,Data Scientist
Bachelor,"Linux, Cybersecurity",None,8,100,Cybersecurity Analyst
Master,"SQL, Java, C++",Deep Learning Specialization,5.5,85,Software Engineer
Master,"Machine Learning, Deep Learning, Python",Google ML,10,100,Data Scientist
PhD,"Python, SQL, Machine Learning",Google ML,2,60,Data Scientist
Master,"Machine Learning, SQL",Deep Learning Specialization,4.5,75,Data Scientist
Master,"Ethical Hacking, Linux",AWS Certified,8.5,100,Cybersecurity Analyst
PhD,"Pytorch, TensorFlow",AWS Certified,4.5,90,AI Researcher
Master,"SQL, C++, Java, React",Google ML,1.5,60,Software Engineer
PhD,"Networking, Linux, Cybersecurity",Google ML,4.5,75,Cybersecurity Analyst
Bachelor,"Linux, Cybersecurity, Networking, Ethical Hacking",AWS Certified,6,100,Cybersecurity Analyst
Master,"NLP, TensorFlow, Python",None,2,45,AI Researcher
PhD,"Machine Learning, Deep Learning, SQL, Python",AWS Certified,4,80,Data Scientist
PhD,"Java, React, SQL, C++",None,3.5,70,Software Engineer
Bachelor,"Ethical Hacking, Cybersecurity, Networking",Deep Learning Specialization,2,60,Cybersecurity Analyst
PhD,"SQL, Java, React",AWS Certified,4.5,90,Software Engineer
Bachelor,"Cybersecurity, Networking, Linux, Ethical Hacking",None,4.5,70,Cybersecurity Analyst
Bachelor,"Python, Deep Learning, Machine Learning, SQL",Deep Learning Specialization,2.5,65,Data Scientist
Bachelor,"Pytorch, TensorFlow, NLP, Python",Google ML,6.5,100,AI Researcher
Bachelor,"Linux, Ethical Hacking, Networking",AWS Certified,2.5,75,Cybersecurity Analyst
Master,"Deep Learning, Machine Learning",AWS Certified,8,100,Data Scientist
Master,"NLP, Pytorch, TensorFlow, Python",Deep Learning Specialization,4.5,75,AI Researcher
Bachelor,"SQL, Machine Learning, Python, Deep Learning",Deep Learning Specialization,5.5,100,Data Scientist
Master,"Networking, Cybersecurity, Ethical Hacking, Linux",Google ML,6,100,Cybersecurity Analyst
Bachelor,"SQL, Python, Machine Learning, Deep Learning",AWS Certified,4.5,100,Data Scientist
Bachelor,"Deep Learning, Python, SQL, Machine Learning",AWS Certified,4,85,Data Scientist
Master,"Cybersecurity, Networking",None,6.5,100,Cybersecurity Analyst
Bachelor,"C++, SQL, Java",None,6,100,Software Engineer
Master,"Machine Learning, SQL, Python",Google ML,6,100,Data Scientist
Bachelor,"SQL, Machine Learning, Python",Google ML,3,70,Data Scientist
Bachelor,"SQL, Deep Learning, Python",Google ML,4.5,100,Data Scientist
Bachelor,"Python, NLP, Pytorch, TensorFlow",Deep Learning Specialization,7,100,AI Researcher
PhD,"TensorFlow, NLP",AWS Certified,7,100,AI Researcher
PhD,"Cybersecurity, Linux, Ethical Hacking",None,6,85,Cybersecurity Analyst
Master,"SQL, Machine Learning, Deep Learning",None,8,100,Data Scientist
Master,"Ethical Hacking, Linux, Networking, Cybersecurity",None,3.5,85,Cybersecurity Analyst
Bachelor,"Deep Learning, Python, Machine Learning, SQL",AWS Certified,3,90,Data Scientist
Master,"Pytorch, TensorFlow",AWS Certified,4.5,65,AI Researcher
PhD,"Python, Machine Learning, SQL",Google ML,9.5,100,Data Scientist
Master,"C++, React, SQL",None,3.5,50,Software Engineer
Bachelor,"C++, SQL",Google ML,8,100,Software Engineer
Master,"NLP, Python, Pytorch, TensorFlow",AWS Certified,4.5,90,AI Researcher
Master,"C++, Java, SQL",AWS Certified,3.5,90,Software Engineer
Bachelor,"TensorFlow, Pytorch, NLP, Python",AWS Certified,1.5,50,AI Researcher
Bachelor,"Cybersecurity, Linux, Ethical Hacking, Networking",AWS Certified,7.5,100,Cybersecurity Analyst
Bachelor,"Python, NLP",None,5,75,AI Researcher
Master,"React, C++, SQL, Java",Google ML,8.5,100,Software Engineer
Bachelor,"SQL, Deep Learning, Machine Learning",Google ML,4.5,100,Data Scientist
Master,"TensorFlow, NLP, Python",Google ML,8,100,AI Researcher
Bachelor,"Python, SQL, Machine Learning",AWS Certified,3.5,75,Data Scientist
PhD,"NLP, Python",Google ML,10,100,AI Researcher
Master,"SQL, C++, Java",None,3.5,80,Software Engineer
Master,"Pytorch, NLP, Python, TensorFlow",Google ML,4,75,AI Researcher
PhD,"SQL, Deep Learning",Deep Learning Specialization,4,60,Data Scientist
Bachelor,"React, SQL, Java",Deep Learning Specialization,6.5,100,Software Engineer
Master,"SQL, Deep Learning, Machine Learning",None,4.5,65,Data Scientist
Master,"Pytorch, TensorFlow, NLP",Google ML,3,65,AI Researcher
Bachelor,"Python, NLP",Google ML,6.5,100,AI Researcher
Master,"Networking, Cybersecurity, Ethical Hacking, Linux",AWS Certified,9,100,Cybersecurity Analyst
Master,"React, C++, Java, SQL",Google ML,4.5,100,Software Engineer
PhD,"Networking, Ethical Hacking, Linux, Cybersecurity",Google ML,6,100,Cybersecurity Analyst
PhD,"React, SQL",Deep Learning Specialization,10,100,Software Engineer
Master,"Cybersecurity, Ethical Hacking, Linux, Networking",Deep Learning Specialization,0.5,40,Cybersecurity Analyst
PhD,"React, Java",Google ML,5,90,Software Engineer
Bachelor,"Cybersecurity, Linux, Ethical Hacking",None,4.5,60,Cybersecurity Analyst
Master,"Deep Learning, Machine Learning",Deep Learning Specialization,2.5,45,Data Scientist
Bachelor,"TensorFlow, NLP",Google ML,4.5,65,AI Researcher
PhD,"Linux, Networking, Cybersecurity, Ethical Hacking",AWS Certified,9,100,Cybersecurity Analyst
Master,"SQL, Machine Learning, Python, Deep Learning",Deep Learning Specialization,5,100,Data Scientist
Bachelor,"Python,Data Analysis,Machine Learning","Technology,Data Science",5,95,Data Scientist
Master,"Java,System Design,Cloud Computing","Software Development,AI",5,90,Software Engineer
Bachelor,"Graphic Design,UI/UX,Adobe Creative Suite","Arts,Digital Media",5,88,Software Engineer
Bachelor,"Python,Deep Learning,Statistics","Healthcare,AI",5,93,AI Researcher
Master,"Project Management,Communication,Agile","Business,Management",5,87,Software Engineer
Bachelor,"C++,Embedded Systems,IoT","Electronics,Automation",5,91,Software Engineer
Master,"SQL,Data Warehousing,ETL","Finance,Analytics",5,89,Data Scientist
Bachelor,"Content Writing,SEO,Social Media","Marketing,Communications",5,86,Software Engineer
Bachelor,"Python,Natural Language Processing,Machine Learning","Linguistics,Technology",5,92,AI Researcher
Master,"Financial Analysis,Excel,Econometrics","Finance,Data Analysis",5,90,Data Scientist
PhD,"Research,Statistical Analysis,Python","Academia,Biotech",5,94,Data Scientist
Bachelor,"HTML,CSS,JavaScript","Web Development,Design",5,85,Software Engineer
Bachelor,"Java,Algorithms,Data Structures","Software Engineering,Coding",5,88,Software Engineer
Master,"Data Visualization,Python,R","Data Analysis,Statistics",5,90,Data Scientist
Master,"Machine Learning,Big Data,Python","Technology,Innovation",5,93,AI Researcher
Bachelor,"Digital Marketing,Content Creation,SEO","Marketing,Social Media",5,87,Software Engineer
Bachelor,"Python,Data Mining,Statistics","Data Science,Finance",5,92,Data Scientist
Bachelor,"C#,.NET,Software Design","Technology,Gaming",5,86,Software Engineer
Master,"Project Management,Risk Analysis,Negotiation","Business,Management",5,89,Software Engineer
Bachelor,"User Research,UX Design,Prototyping","Design,Technology",5,90,Software Engineer
Bachelor,"Python,Data Analysis,SQL","Finance,Analytics",5,88,Data Scientist
Master,"Marketing Strategy,Digital Marketing,CRM","Marketing,Business",5,91,Software Engineer
Bachelor,"JavaScript,React,Node.js","Web Development,Technology",5,87,Software Engineer
Master,"Data Science,Machine Learning,Python","Healthcare,AI",5,92,AI Researcher
Bachelor,"Network Security,Linux,Python","Cybersecurity,Technology",5,89,Cybersecurity Analyst
Master,"Python,Statistics,Data Mining","Academia,Research",5,90,Data Scientist
Bachelor,"Cloud Computing,DevOps,Python","Technology,Business",5,91,Software Engineer
Bachelor,"Content Creation,Graphic Design,Adobe Photoshop","Digital Media,Marketing",5,86,Software Engineer
Master,"Python,TensorFlow,Deep Learning","Technology,Research",5,93,AI Researcher
Bachelor,"SQL,Data Warehousing,R","Business,Analytics",5,88,Data Scientist
Master,"Java,Spring,Microservices","Software Engineering,Finance",5,89,Software Engineer
Bachelor,"HTML,CSS,JavaScript,UX","Web Design,Technology",5,85,Software Engineer
Master,"Machine Learning,R,Python","Biotech,Data Science",5,92,Data Scientist
Bachelor,"Digital Illustration,Adobe Illustrator,Creativity","Arts,Design",5,87,Software Engineer
Master,"Python,Big Data,Machine Learning","Finance,Technology",5,91,Data Scientist
Bachelor,"Copywriting,SEO,Social Media","Marketing,Content",5,86,Software Engineer
Master,"Python,JavaScript,Data Visualization","Analytics,Business",5,90,Data Scientist
Bachelor,"Business Analysis,Excel,SQL","Business,Finance",5,89,Data Scientist
Bachelor,"Python,Automation,Data Analysis","Technology,Engineering",5,90,Software Engineer
Bachelor,"Graphic Design,UX/UI,Adobe XD","Digital Media,Design",5,88,Software Engineer
Master,"Python,Machine Learning,AI","Technology,Innovation",5,93,AI Researcher
Bachelor,"Digital Marketing,Analytics,SEO","Marketing,Business",5,87,Software Engineer
Master,"Python,Data Analysis,R","Finance,Data Science",5,90,Data Scientist
Bachelor,"Content Writing,Storytelling,SEO","Media,Marketing",5,86,Software Engineer
Bachelor,"Java,Android,UI Design","Mobile Apps,Technology",5,88,Software Engineer
Master,"UX Research,Prototyping,Interaction Design","Design,User Experience",5,91,Data Scientist
Bachelor,"Python,Cybersecurity,Network Security","Technology,Security",5,90,Cybersecurity Analyst
Bachelor,"SQL,Data Analysis,Excel","Business,Analytics",5,87,Data Scientist
Master,"Cloud Computing,Python,DevOps","Technology,Business",5,91,Software Engineer
Bachelor,"Graphic Design,Illustration,Adobe Creative Suite","Arts,Design",5,86,Software Engineer
Bachelor,"Python,Data Analysis,SQL","Finance,Analytics",5,90,Data Scientist
Bachelor,"Java,Spring,Microservices","Software Engineering,Technology",5,89,Software Engineer
Master,"Python,Machine Learning,TensorFlow","AI,Innovation",5,93,AI Researcher
Master,"Digital Marketing,SEO,Content Strategy","Marketing,Social Media",5,87,Software Engineer
Bachelor,"SQL,Data Warehousing,ETL","Finance,Data Analytics",5,89,Data Scientist
Bachelor,"Graphic Design,Illustration,Adobe Illustrator","Arts,Design",5,86,Software Engineer
Master,"Python,NLP,Deep Learning","AI,Language",5,92,AI Researcher
Bachelor,"Research,Statistical Analysis,R","Academia,Biotech",5,94,Data Scientist
Master,"Project Management,Agile,Communication","Business,Management",5,87,Software Engineer
Master,"Python,Data Visualization,R","Data Analysis,Statistics",5,90,Data Scientist
Bachelor,"Java,Algorithms,Data Structures","Software Development,Coding",5,88,Software Engineer
Bachelor,"UX Research,Prototyping,Interaction Design","Design,User Experience",5,91,Data Scientist
Master,"Cloud Computing,DevOps,Python","Technology,Business",5,91,Software Engineer
Master,"Business Analysis,Excel,SQL","Business,Finance",5,89,Data Scientist
Bachelor,"SQL,Data Analysis,Excel","Business,Analytics",5,88,Data Scientist
Bachelor,"Cloud Computing,Python,DevOps","Technology,Business",5,91,Software Engineer
Master,"Python,Data Analysis,SQL","Finance,Analytics",5,90,Data Scientist
Bachelor,"Java,System Design,Cloud Computing","Software Development,AI",5,90,Software Engineer
Master,"Python,Deep Learning,Statistics","Healthcare,AI",5,93,AI Researcher
Bachelor,"Project Management,Communication,Agile","Business,Management",5,87,Software Engineer
Master,"Digital Marketing,SEO,Content Creation","Marketing,Communications",5,87,Software Engineer
Master,"Python,Data Analysis,Machine Learning","Technology,Data Science",5,87,Data Scientist
PhD,"Java,System Design,Cloud Computing","Software Development,AI",5,88,Software Engineer
Bachelor,"Graphic Design,UI/UX,Adobe Creative Suite","Arts,Digital Media",5,89,Software Engineer
Master,"HTML,CSS,JavaScript","Healthcare,AI",5,90,AI Researcher
PhD,"C++,Embedded Systems,IoT","Business,Management",5,91,Software Engineer
Bachelor,"SQL,Data Warehousing,ETL","Finance,Analytics",5,92,Software Engineer
Master,"JavaScript,React,Node.js","Marketing,Communications",5,93,Data Scientist
PhD,"Digital Marketing,SEO,Content Creation","Cybersecurity,Technology",5,94,Software Engineer
Bachelor,"Project Management,Agile,Communication","Academia,Research",5,95,AI Researcher
Master,"Python,Deep Learning,Statistics","Web Development,Design",5,85,Data Scientist
PhD,"Financial Analysis,Excel,Econometrics","Technology,Data Science",5,86,Data Scientist
Bachelor,"Research,Statistical Analysis,Python","Software Development,AI",5,87,Software Engineer
Master,"Cloud Computing,DevOps,Python","Arts,Digital Media",5,88,Software Engineer
PhD,"Java,Algorithms,Data Structures","Healthcare,AI",5,89,Data Scientist
Bachelor,"UX Research,Prototyping,Interaction Design","Business,Management",5,90,AI Researcher
Master,"Copywriting,SEO,Social Media","Finance,Analytics",5,91,Software Engineer
PhD,"Network Security,Linux,Python","Marketing,Communications",5,92,Data Scientist
Bachelor,"C#,.NET,Software Design","Cybersecurity,Technology",5,93,Software Engineer
Master,"Data Visualization,Python,R","Academia,Research",5,94,Software Engineer
PhD,"Machine Learning,Big Data,Python","Web Development,Design",5,95,Software Engineer
Bachelor,"Python,Data Analysis,Machine Learning","Technology,Data Science",5,85,Data Scientist
Master,"Java,System Design,Cloud Computing","Software Development,AI",5,86,Software Engineer
PhD,"Graphic Design,UI/UX,Adobe Creative Suite","Arts,Digital Media",5,87,Software Engineer
Bachelor,"HTML,CSS,JavaScript","Healthcare,AI",5,88,AI Researcher
Master,"C++,Embedded Systems,IoT","Business,Management",5,89,Cybersecurity Analyst
PhD,"SQL,Data Warehousing,ETL","Finance,Analytics",5,90,Data Scientist
Bachelor,"JavaScript,React,Node.js","Marketing,Communications",5,91,Software Engineer
Master,"Digital Marketing,SEO,Content Creation","Cybersecurity,Technology",5,92,Software Engineer
PhD,"Project Management,Agile,Communication","Academia,Research",5,93,AI Researcher
Bachelor,"Python,Deep Learning,Statistics","Web Development,Design",5,94,Data Scientist
Master,"Financial Analysis,Excel,Econometrics","Technology,Data Science",5,95,Software Engineer
PhD,"Research,Statistical Analysis,Python","Software Development,AI",5,85,Software Engineer
Bachelor,"Cloud Computing,DevOps,Python","Arts,Digital Media",5,86,Data Scientist
Master,"Java,Algorithms,Data Structures","Healthcare,AI",5,87,Software Engineer
PhD,"UX Research,Prototyping,Interaction Design","Business,Management",5,88,Data Scientist
Bachelor,"Copywriting,SEO,Social Media","Finance,Analytics",5,89,Software Engineer
Master,"Network Security,Linux,Python","Marketing,Communications",5,90,Data Scientist
PhD,"C#,.NET,Software Design","Cybersecurity,Technology",5,91,Data Scientist
Bachelor,"Data Visualization,Python,R","Academia,Research",5,92,Software Engineer
Master,"Machine Learning,Big Data,Python","Web Development,Design",5,93,Software Engineer
PhD,"Python,Data Analysis,Machine Learning","Technology,Data Science",5,94,AI Researcher
Bachelor,"Java,System Design,Cloud Computing","Software Development,AI",5,95,Software Engineer
Master,"Graphic Design,UI/UX,Adobe Creative Suite","Arts,Digital Media",5,85,Data Scientist
PhD,"HTML,CSS,JavaScript","Healthcare,AI",5,86,Software Engineer
Bachelor,"C++,Embedded Systems,IoT","Business,Management",5,87,Software Engineer
Master,"SQL,Data Warehousing,ETL","Finance,Analytics",5,88,Data Scientist
PhD,"JavaScript,React,Node.js","Marketing,Communications",5,89,Cybersecurity Analyst
Bachelor,"Digital Marketing,SEO,Content Creation","Cybersecurity,Technology",5,90,Data Scientist
Master,"Project Management,Agile,Communication","Academia,Research",5,91,Software Engineer
PhD,"Python,Deep Learning,Statistics","Web Development,Design",5,92,Software Engineer
Bachelor,"Financial Analysis,Excel,Econometrics","Technology,Data Science",5,93,Data Scientist
Master,"Research,Statistical Analysis,Python","Software Development,AI",5,94,Software Engineer
PhD,"Cloud Computing,DevOps,Python","Arts,Digital Media",5,95,Software Engineer
Bachelor,"Java,Algorithms,Data Structures","Healthcare,AI",5,85,AI Researcher
Master,"UX Research,Prototyping,Interaction Design","Business,Management",5,86,Software Engineer
PhD,"Copywriting,SEO,Social Media","Finance,Analytics",5,87,Software Engineer
Bachelor,"Network Security,Linux,Python","Marketing,Communications",5,88,Data Scientist
Master,"C#,.NET,Software Design","Cybersecurity,Technology",5,89,Software Engineer
PhD,"Data Visualization,Python,R","Academia,Research",5,90,AI Researcher
Bachelor,"Machine Learning,Big Data,Python","Web Development,Design",5,91,Data Scientist
Master,"Python,Data Analysis,Machine Learning","Technology,Data Science",5,92,Data Scientist
PhD,"Java,System Design,Cloud Computing","Software Development,AI",5,93,Software Engineer
Bachelor,"Graphic Design,UI/UX,Adobe Creative Suite","Arts,Digital Media",5,94,Software Engineer
Master,"HTML,CSS,JavaScript","Healthcare,AI",5,95,Data Scientist
PhD,"C++,Embedded Systems,IoT","Business,Management",5,85,AI Researcher
Bachelor,"SQL,Data Warehousing,ETL","Finance,Analytics",5,86,Software Engineer
Master,"JavaScript,React,Node.js","Marketing,Communications",5,87,Data Scientist
PhD,"Digital Marketing,SEO,Content Creation","Cybersecurity,Technology",5,88,Software Engineer
Bachelor,"Project Management,Agile,Communication","Academia,Research",5,89,Software Engineer
Master,"Python,Deep Learning,Statistics","Web Development,Design",5,90,Software Engineer
PhD,"Financial Analysis,Excel,Econometrics","Technology,Data Science",5,91,Data Scientist
Bachelor,"Research,Statistical Analysis,Python","Software Development,AI",5,92,Software Engineer
Master,"Cloud Computing,DevOps,Python","Arts,Digital Media",5,93,Software Engineer
PhD,"Java,Algorithms,Data Structures","Healthcare,AI",5,94,AI Researcher
Bachelor,"UX Research,Prototyping,Interaction Design","Business,Management",5,95,Cybersecurity Analyst
Master,"Copywriting,SEO,Social Media","Finance,Analytics",5,85,Data Scientist
PhD,"Network Security,Linux,Python","Marketing,Communications",5,86,Software Engineer
Bachelor,"C#,.NET,Software Design","Cybersecurity,Technology",5,87,Software Engineer
Master,"Data Visualization,Python,R","Academia,Research",5,88,AI Researcher
PhD,"Machine Learning,Big Data,Python","Web Development,Design",5,89,Data Scientist
Bachelor,"Python,Data Analysis,Machine Learning","Technology,Data Science",5,90,Software Engineer
Master,"Java,System Design,Cloud Computing","Software Development,AI",5,91,Software Engineer
PhD,"Graphic Design,UI/UX,Adobe Creative Suite","Arts,Digital Media",5,92,Data Scientist
Bachelor,"HTML,CSS,JavaScript","Healthcare,AI",5,93,Software Engineer
Master,"C++,Embedded Systems,IoT","Business,Management",5,94,Data Scientist
PhD,"SQL,Data Warehousing,ETL","Finance,Analytics",5,95,Software Engineer
Bachelor,"JavaScript,React,Node.js","Marketing,Communications",5,85,Data Scientist
Master,"Digital Marketing,SEO,Content Creation","Cybersecurity,Technology",5,86,Data Scientist
PhD,"Project Management,Agile,Communication","Academia,Research",5,87,Software Engineer
Bachelor,"Python,Deep Learning,Statistics","Web Development,Design",5,88,Software Engineer
Master,"Financial Analysis,Excel,Econometrics","Technology,Data Science",5,89,AI Researcher
PhD,"Research,Statistical Analysis,Python","Software Development,AI",5,90,Software Engineer
Bachelor,"Cloud Computing,DevOps,Python","Arts,Digital Media",5,91,Data Scientist
Master,"Java,Algorithms,Data Structures","Healthcare,AI",5,92,Software Engineer
PhD,"UX Research,Prototyping,Interaction Design","Business,Management",5,93,Software Engineer
Bachelor,"Copywriting,SEO,Social Media","Finance,Analytics",5,94,Data Scientist
Master,"Network Security,Linux,Python","Marketing,Communications",5,95,Cybersecurity Analyst
PhD,"C#,.NET,Software Design","Cybersecurity,Technology",5,85,Data Scientist
Bachelor,"Data Visualization,Python,R","Academia,Research",5,86,Software Engineer
Master,"Machine Learning,Big Data,Python","Web Development,Design",5,87,Software Engineer
